Player Name,Team,Position,Pts,GS,A,CS,B,BPS,PPG,MP,Cost,TSB,GC,OG,PS,PM,Season
Tuanzebe,MUN,DEF,14,0,0,1,0,86,1.6,505,£4.4,0.3%,10,0,0,0,2021
Clark,NEW,DEF,14,0,1,0,1,131,1.1,1012,£4.4,0.1%,27,0,0,0,2021
Omobamidele,NOR,DEF,14,1,0,0,3,74,2.8,381,£3.9,2.0%,9,0,0,0,2021
Hoever,WOL,DEF,14,0,0,1,0,56,1.8,306,£3.9,1.6%,5,0,0,0,2021
Stephens,SOU,DEF,12,0,0,1,0,135,1.1,810,£4.4,0.1%,19,0,0,0,2021
Elliott,LIV,MID,12,0,0,2,0,52,2.0,344,£5.3,0.1%,2,0,0,0,2021
Forss,BRE,FWD,11,0,1,0,0,35,1.6,203,£5.3,0.1%,4,0,0,0,2021
Vestergaard,LEI,DEF,11,0,0,1,0,115,1.1,563,£4.7,0.4%,16,0,0,0,2021
Lo Celso,TOT,MID,11,0,0,0,0,41,1.2,231,£5.9,0.1%,5,0,0,0,2021
Gosling,WAT,MID,11,1,0,1,0,44,2.8,164,£4.7,0.0%,5,0,0,0,2021
Fernández,NEW,DEF,11,0,1,0,0,91,1.6,521,£4.3,0.1%,12,0,0,0,2021
Leno,ARS,GKP,10,0,0,1,0,69,2.5,360,£4.5,0.8%,9,0,0,0,2021
Goode,BRE,DEF,10,0,0,1,0,64,1.7,448,£3.9,1.1%,6,0,0,0,2021
Lewis,NEW,DEF,10,0,0,1,0,39,2.0,261,£4.2,0.1%,4,0,0,0,2021
Cantwell,NOR,MID,10,0,0,0,0,48,1.2,438,£5.3,0.2%,15,0,0,0,2021
Mata,MUN,MID,10,0,0,1,0,50,1.4,230,£4.7,0.1%,4,0,0,0,2021
Etebo,WAT,MID,10,0,0,0,0,58,1.1,396,£4.3,0.2%,8,0,0,0,2021
Tufan,WAT,MID,10,0,0,0,0,22,1.4,334,£5,0.0%,9,0,0,0,2021
Sørensen,NOR,DEF,9,0,0,0,0,92,0.9,600,£4.3,0.0%,18,0,0,0,2021
Bryan,TOT,MID,9,0,0,0,0,32,1.0,86,£5.7,0.1%,1,0,0,0,2021
Palmer,MCI,MID,9,0,1,1,0,29,2.2,121,£4.5,0.1%,0,0,0,0,2021
Gayle,NEW,FWD,7,0,0,0,0,22,0.9,34,£5.2,0.2%,0,0,0,0,2021
Dummett,NEW,DEF,7,0,0,1,0,28,2.3,197,£4.5,0.0%,1,0,0,0,2021
Rose,WAT,DEF,7,0,0,0,0,75,0.9,688,£4.2,0.2%,16,0,0,0,2021
Fredericks,WHU,DEF,7,0,0,0,0,38,1.0,303,£4.4,0.1%,6,0,0,0,2021
