Player Name,Team,Position,Pts,GS,A,CS,B,BPS,PPG,MP,Cost,TSB,GC,OG,PS,PM,Season
Gibson,MID,DEF,121,1,1,11,14,682,3.2,3420,£4.9,8.8%,53,0,0,0,2016
Boruc,BOU,GKP,120,0,0,9,7,657,3.4,3150,£4.5,6.2%,63,0,2,0,2016
Mahrez,LEI,MID,120,6,4,9,9,437,3.3,2826,£8.9,8.2%,48,0,0,2,2016
Valencia,MUN,DEF,120,1,3,12,9,612,4.3,2483,£5.8,12.4%,20,0,0,0,2016
Alderweireld,TOT,DEF,120,1,0,14,4,611,4.0,2601,£6.4,9.6%,17,0,0,0,2016
Bellerín,ARS,DEF,119,1,5,10,12,569,3.6,2503,£6.5,13.9%,34,0,0,0,2016
Mirallas,EVE,MID,119,4,8,11,8,420,3.4,2074,£5.9,2.2%,26,0,0,0,2016
Allen,STK,MID,118,6,3,10,10,525,3.3,2930,£4.9,6.4%,49,0,0,0,2016
Rondón,WBA,FWD,118,8,3,6,10,287,3.1,2892,£6.3,4.2%,44,0,0,0,2016
Arnautovic,STK,MID,117,6,7,9,8,401,3.7,2713,£7.1,1%,43,0,0,1,2016
Giroud,ARS,FWD,116,12,5,4,17,432,4.0,1206,£8.1,4.7%,16,0,0,0,2016
Townsend,CRY,MID,116,3,7,7,16,492,3.2,2520,£5.7,2.2%,38,0,0,0,2016
Fabianski,SWA,GKP,116,0,0,8,8,650,3.1,3330,£4.8,3.6%,69,0,1,0,2016
Monreal,ARS,DEF,115,0,3,11,9,681,3.2,3153,£5.9,6.4%,43,0,0,0,2016
Phillips,WBA,MID,115,4,9,6,12,357,4.3,2181,£5.3,4%,28,0,0,0,2016
Pogba,MUN,MID,115,5,4,13,14,512,3.8,2608,£8.2,7.3%,21,0,0,0,2016
Willian,CHE,MID,114,8,3,6,13,441,3.4,1534,£7,3.5%,19,0,0,0,2016
Keane,BUR,DEF,113,2,1,10,10,619,3.2,3150,£5,3.3%,49,0,0,0,2016
Gomes,WAT,GKP,113,0,0,7,6,681,3.0,3337,£4.9,1.7%,64,1,1,0,2016
Foster,WBA,GKP,113,0,0,6,4,629,3.0,3420,£4.7,12.6%,51,0,0,0,2016
Steve Cook,BOU,DEF,112,2,0,10,17,777,2.9,3420,£4.8,3.2%,67,1,0,0,2016
Mignolet,LIV,GKP,110,0,0,9,7,506,3.9,2520,£4.8,3.5%,30,0,2,0,2016
Chadli,WBA,MID,110,5,6,6,8,359,3.5,2135,£5.8,1.4%,32,0,0,0,2016
Schmeichel,LEI,GKP,109,0,0,8,10,585,3.6,2666,£4.9,6%,47,0,0,0,2016
Gray,BUR,FWD,108,9,3,8,10,303,3.4,2260,£6,4%,33,0,0,0,2016
Tadic,SOU,MID,108,3,7,13,4,376,3.3,2411,£6.9,2%,29,0,0,1,2016
Stanislas,BOU,MID,107,7,6,4,13,372,5.1,1467,£4.6,1.3%,29,0,0,0,2016
Lovren,LIV,DEF,106,2,1,11,6,589,3.7,2553,£4.9,5.6%,31,0,0,0,2016
Martins Indi,STK,DEF,106,1,0,11,9,634,3.0,3146,£4.9,0.7%,50,0,0,0,2016
Grant,STK,GKP,106,0,0,9,9,546,3.8,2520,£4.3,6.5%,34,0,0,0,2016
Matic,CHE,MID,105,1,8,15,1,550,3.0,2694,£4.8,3.9%,24,0,0,0,2016
Moses,CHE,MID,105,3,3,17,6,476,3.1,2485,£5.5,2.2%,15,0,0,0,2016
Bailly,MUN,DEF,105,0,0,13,14,542,4.2,2058,£5.5,8.3%,15,0,0,0,2016
Sané,MCI,MID,105,5,7,9,8,343,4.0,1781,£7.7,7.5%,15,0,0,0,2016
Smith,BOU,DEF,104,1,5,8,12,645,2.9,3101,£4.6,7%,61,1,0,0,2016
Jagielka,EVE,DEF,104,3,3,6,16,533,3.9,2251,£4.9,7.5%,32,0,0,0,2016
Fuchs,LEI,DEF,104,2,4,8,10,679,2.9,3103,£5.3,5.7%,57,0,0,0,2016
Can,LIV,MID,104,5,2,9,12,436,3.3,2371,£4.8,3%,28,0,0,0,2016
Pieters,STK,DEF,103,0,2,10,9,614,2.9,3151,£4.6,6.7%,50,0,0,0,2016
Wanyama,TOT,MID,103,4,2,12,7,578,2.9,3012,£4.8,2.9%,25,0,0,0,2016
Fletcher,WBA,MID,103,2,3,8,2,453,2.7,3231,£4.4,8.1%,45,0,0,0,2016
Mata,MUN,MID,102,6,3,10,14,457,4.1,1614,£7.2,2%,16,1,0,0,2016
Valdés,MID,GKP,102,0,0,8,10,493,3.6,2520,£4.5,4.3%,36,0,0,0,2016
Cédric,SOU,DEF,102,0,3,11,11,584,3.4,2515,£4.9,2.7%,36,0,0,0,2016
Pickford,SUN,GKP,102,0,0,4,9,608,3.5,2610,£4.2,11%,50,0,0,0,2016
Dawson,WBA,DEF,102,4,0,6,6,500,2.8,3276,£4.9,2.5%,50,0,0,0,2016
Reid,WHU,DEF,102,2,3,9,16,622,3.4,2587,£4.9,2.4%,48,0,0,0,2016
