Player Name,Team,Position,Pts,GS,A,CS,B,BPS,PPG,MP,Cost,TSB,GC,OG,PS,PM,Season
Salah,LIV,MID,127,11,7,5,17,379,7.9,1380,£13.1,50.8%,14,0,0,1,2023
Son,TOT,MID,113,10,4,5,16,362,7.1,1333,£9.5,34.9%,21,1,0,0,2023
Haaland,MCI,FWD,112,14,5,4,15,417,7.5,1294,£14,83.6%,16,0,0,1,2023
Watkins,AVL,FWD,99,8,9,4,11,330,6.2,1399,£8.4,39.0%,20,0,0,0,2023
Saka,ARS,MID,94,5,8,5,11,346,6.3,1305,£9,58.5%,15,0,0,0,2023
Mbeumo,BRE,MID,87,7,4,3,9,250,5.8,1286,£6.9,14.9%,20,0,0,0,2023
Bowen,WHU,MID,86,9,1,1,8,247,5.7,1350,£7.7,21.1%,29,0,0,0,2023
Gordon,NEW,MID,83,6,5,7,8,255,5.5,1223,£6.2,24.2%,16,0,0,0,2023
Trippier,NEW,DEF,82,0,7,6,18,403,5.1,1392,£7,49.3%,21,0,0,0,2023
J.Alvarez,MCI,FWD,80,4,8,6,11,330,5.0,1319,£6.9,28.6%,13,0,0,0,2023
Hee Chan,WOL,MID,76,8,2,1,7,231,4.8,1131,£5.8,12.3%,18,0,0,0,2023
A.Doucoure,EVE,MID,75,6,2,5,7,240,4.7,1397,£5.5,1.4%,20,0,0,0,2023
Alexander-Arnold,LIV,DEF,75,2,3,5,12,334,5.4,1138,£8.1,13.8%,12,0,0,0,2023
McGinn,AVL,MID,66,4,2,4,8,255,4.1,1351,£5.5,1.1%,18,0,0,0,2023
Leno,FUL,GKP,66,0,0,5,10,368,4.1,1440,£4.7,15.1%,26,1,0,0,2023
Saliba,ARS,DEF,65,1,1,6,5,305,4.1,1440,£5.5,35.3%,15,0,0,0,2023
Szoboszlai,LIV,MID,65,2,4,6,6,292,4.1,1354,£7.1,6.5%,13,0,0,0,2023
Cunha,WOL,FWD,65,5,3,2,6,238,4.1,1329,£5.7,4.6%,23,0,0,0,2023
Andersen,CRY,DEF,64,2,1,5,9,319,4.0,1440,£5.1,20.9%,23,0,0,0,2023
B.Fernandes,MUN,MID,64,3,3,5,10,279,4.0,1440,£8.3,12.6%,21,0,0,1,2023
Bernardo,MCI,MID,63,4,3,2,10,292,4.8,1088,£6.4,3.3%,15,0,0,0,2023
Kulusevski,TOT,MID,63,4,1,5,6,226,3.9,1401,£7,2.7%,18,0,0,0,2023
Maddison,TOT,MID,63,3,6,5,6,230,5.7,882,£7.8,8.8%,8,0,0,0,2023
Mykolenko,EVE,DEF,62,2,1,5,7,226,5.2,1077,£4.5,5.8%,11,0,0,0,2023
A.Becker,LIV,GKP,62,0,0,4,9,301,4.4,1260,£5.6,10.0%,12,0,0,0,2023
Darwin,LIV,FWD,62,4,7,3,4,169,4.1,866,£7.6,17.4%,9,0,0,0,2023
White,ARS,DEF,61,1,2,5,7,281,4.1,1139,£5.6,11.3%,14,0,0,0,2023
Rice,ARS,MID,61,3,1,6,7,300,3.8,1383,£5.4,5.6%,14,0,0,0,2023
Zinchenko,ARS,DEF,60,1,1,5,9,265,4.0,959,£5.2,12.9%,8,0,0,0,2023
Mitoma,BHA,MID,60,3,5,0,7,196,4.0,1148,£6.5,23.2%,22,0,0,0,2023
Tarkowski,EVE,DEF,58,1,1,5,6,277,3.6,1440,£4.4,3.4%,20,0,0,0,2023
Isak,NEW,FWD,58,7,0,3,8,213,4.8,814,£7.6,15.9%,13,0,0,0,2023
Pau,AVL,DEF,58,2,0,4,4,282,3.6,1409,£4.7,5.4%,18,0,0,0,2023
Onana,MUN,GKP,58,0,0,5,3,309,3.6,1440,£4.8,15.5%,21,0,0,0,2023
Neto,BOU,GKP,57,0,0,4,8,282,4.1,1260,£4.5,2.1%,23,0,1,0,2023
McTominay,MUN,MID,57,5,0,4,5,176,4.4,876,£4.9,2.5%,12,0,0,0,2023
Johnstone,CRY,GKP,56,0,0,5,7,254,3.5,1436,£4.7,5.3%,22,0,0,0,2023
Pickford,EVE,GKP,56,0,0,5,6,272,3.5,1440,£4.4,7.4%,20,1,0,0,2023
Pope,NEW,GKP,56,0,0,6,1,268,4.0,1255,£5.4,7.6%,14,0,0,0,2023
Martinez,AVL,GKP,55,0,0,4,9,290,3.7,1350,£5,8.7%,19,1,0,0,2023
Virgil,LIV,DEF,55,1,2,4,7,278,3.9,1197,£6.1,9.5%,14,0,0,0,2023
Wissa,BRE,FWD,54,3,2,5,7,173,3.4,1293,£5.8,7.9%,17,0,0,0,2023
Mitchell,CRY,DEF,54,1,1,5,5,262,3.6,1267,£4.7,5.0%,20,0,0,0,2023
Morris,LUT,FWD,54,3,2,2,7,146,3.4,1190,£5.2,2.7%,24,0,0,0,2023
Dalot,MUN,DEF,54,1,1,4,8,284,3.6,1284,£5.1,4.7%,20,0,0,0,2023
Romero,TOT,DEF,54,3,0,4,10,256,4.2,1035,£4.9,10.1%,14,1,0,0,2023
Vicario,TOT,GKP,54,0,0,4,5,312,3.4,1440,£5.2,8.0%,23,0,0,0,2023
João Pedro,BHA,FWD,50,5,1,1,6,182,3.1,838,£5.4,10.7%,16,0,0,0,2023
Walker,MCI,DEF,50,0,1,4,4,284,3.1,1440,£5.3,16.2%,18,0,0,0,2023
Wilson,NEW,FWD,50,7,1,4,4,185,4.5,505,£7.8,3.3%,8,0,0,0,2023
Gibbs-White,NFO,MID,50,1,4,3,3,213,3.1,1326,£5.7,1.6%,25,0,0,0,2023
Digne,AVL,DEF,49,0,3,4,2,257,3.1,1399,£4.7,5.6%,20,0,0,0,2023
Tavernier,BOU,MID,49,2,3,4,4,174,3.8,903,£5.4,0.6%,17,0,0,0,2023
Rodrigo,MCI,MID,49,3,3,4,5,250,3.8,1090,£5.6,5.4%,13,0,0,0,2023
Doku,MCI,MID,49,2,5,0,9,211,4.5,693,£6.7,5.8%,11,0,0,0,2023
Konsa,AVL,DEF,48,0,1,4,4,277,3.0,1398,£4.5,1.5%,20,0,0,0,2023
Pinnock,BRE,DEF,48,1,0,3,5,300,3.0,1440,£4.6,4.5%,22,0,0,0,2023
McNeil,EVE,MID,48,2,2,5,3,171,3.7,1022,£5.4,0.3%,9,0,0,0,2023
Kudus,WHU,MID,48,3,3,0,6,162,3.7,695,£6.7,3.8%,19,0,0,0,2023
Cash,AVL,DEF,47,2,1,3,4,213,3.1,1108,£4.8,22.7%,16,1,0,0,2023
Gallagher,CHE,MID,47,0,5,3,4,240,3.1,1237,£5.4,0.5%,22,0,0,0,2023
Guéhi,CRY,DEF,47,0,0,5,6,269,3.1,1350,£4.6,4.6%,20,0,0,0,2023
Rashford,MUN,MID,47,2,2,4,0,133,3.1,1098,£8.5,11.2%,17,0,0,0,2023
Almirón,NEW,MID,47,2,1,4,3,157,2.9,1076,£6.2,4.2%,15,0,0,0,2023
Areola,WHU,GKP,45,0,0,1,2,243,3.2,1260,£4.3,34.7%,24,0,1,0,2023
Flekken,BRE,GKP,44,0,0,3,1,255,2.9,1305,£4.5,3.2%,20,0,0,0,2023
Colwill,CHE,DEF,44,1,1,3,3,242,2.9,1192,£4.6,6.0%,19,0,0,0,2023
Diogo J.,LIV,MID,44,4,2,3,2,131,3.7,632,£7.7,1.1%,5,0,0,0,2023
Coufal,WHU,DEF,44,0,5,1,5,267,2.8,1436,£4.6,3.5%,30,0,0,0,2023
Hamer,SHU,MID,44,2,1,2,2,180,2.9,1252,£5,0.2%,31,0,0,0,2023
Billing,BOU,MID,43,2,2,1,3,172,2.9,1035,£5.2,0.4%,26,0,0,0,2023
Enzo,CHE,MID,43,2,1,4,3,194,2.9,1232,£4.8,3.0%,21,0,0,1,2023
Branthwaite,EVE,DEF,43,0,0,5,5,241,3.1,1260,£4.1,3.0%,15,0,0,0,2023
L.Paquetá,WHU,MID,43,2,1,2,3,195,2.9,1309,£6,1.6%,24,0,0,0,2023
Van de Ven,TOT,DEF,43,1,0,4,4,227,3.9,945,£4.4,1.4%,10,0,0,0,2023
Trossard,ARS,MID,42,3,1,2,6,122,3.5,526,£6.5,2.3%,4,0,0,0,2023
Mudryk,CHE,MID,42,2,3,3,3,127,3.0,631,£6.3,0.9%,9,0,0,0,2023
J.Ayew,CRY,MID,42,1,3,5,0,127,2.6,1309,£5.4,0.4%,20,0,0,0,2023
J.Palhinha,FUL,MID,42,2,1,4,6,158,3.2,1071,£5,0.3%,17,0,0,0,2023
Akanji,MCI,DEF,42,2,0,3,1,222,3.2,1081,£4.9,5.8%,15,0,0,0,2023
Aké,MCI,DEF,42,2,1,1,4,193,3.5,735,£5,5.2%,9,0,0,0,2023
Amdouni,BUR,FWD,41,2,1,3,4,119,2.7,1059,£5.3,0.2%,20,0,0,0,2023
Trafford,BUR,GKP,41,0,0,1,2,309,2.6,1440,£4.5,0.9%,34,0,0,0,2023
Disasi,CHE,DEF,41,1,0,3,3,226,2.9,1236,£4.9,3.9%,19,0,0,0,2023
Gabriel,ARS,DEF,40,0,0,4,2,210,2.9,1104,£4.9,15.4%,12,0,0,0,2023
Archer,SHU,FWD,40,2,1,1,6,114,2.9,1031,£4.6,9.8%,29,0,0,0,2023
Semenyo,BOU,FWD,40,3,2,3,4,127,3.1,674,£4.6,4.0%,12,0,0,0,2023
Collins,BRE,DEF,40,1,1,3,3,219,3.3,999,£4.5,0.5%,15,0,0,0,2023
Janelt,BRE,MID,40,0,2,4,1,194,2.5,1289,£5.3,0.1%,15,0,0,0,2023
Raya,ARS,GKP,40,0,0,4,2,181,3.6,990,£4.9,5.6%,11,0,0,0,2023
T.Silva,CHE,DEF,40,1,0,3,3,288,2.7,1350,£5,3.6%,24,0,0,0,2023
De Cordova-Reid,FUL,MID,40,3,1,1,2,117,2.9,648,£5.4,0.1%,17,0,0,0,2023
Robinson,FUL,DEF,40,0,3,4,3,277,2.7,1315,£4.4,0.9%,26,2,0,0,2023
Adebayo,LUT,FWD,40,4,0,0,3,124,2.5,573,£4.8,0.6%,15,0,0,0,2023
Sarr,TOT,MID,40,1,2,5,2,188,2.9,907,£4.5,2.3%,7,0,0,0,2023
Udogie,TOT,DEF,40,1,2,3,5,195,2.9,1142,£4.8,9.7%,20,0,0,0,2023
José Sá,WOL,GKP,40,0,0,1,4,236,2.7,1282,£5,1.4%,26,0,0,0,2023
Koleosho,BUR,MID,40,1,2,3,0,80,2.7,972,£5,0.1%,23,0,0,0,2023
Toffolo,NFO,DEF,38,1,3,2,3,173,3.8,742,£4.4,0.2%,16,0,0,0,2023
Antonio,WHU,FWD,38,2,2,4,4,116,3.2,812,£5.7,2.1%,13,0,0,0,2023
Tsimikas,LIV,DEF,37,0,3,3,3,155,4.6,538,£4.9,15.1%,6,0,0,0,2023
Burn,NEW,DEF,37,1,0,4,0,175,3.4,945,£4.4,2.8%,11,0,0,0,2023
Castagne,FUL,DEF,37,0,0,4,3,201,2.8,1022,£4.5,0.5%,15,0,0,0,2023
Gilmour,BHA,MID,36,0,3,2,4,183,2.4,915,£4.9,0.4%,18,0,0,0,2023
Eze,CRY,MID,36,2,2,3,1,148,3.6,797,£6,3.0%,10,0,0,0,2023
Schlupp,CRY,MID,36,1,0,4,1,106,2.6,988,£4.9,0.1%,12,0,0,0,2023
Cairney,FUL,MID,36,1,4,2,0,145,2.6,479,£4.9,0.0%,7,0,0,0,2023
Maguire,MUN,DEF,36,0,2,3,2,173,3.3,836,£4.3,3.6%,12,0,0,0,2023
Lascelles,NEW,DEF,36,1,0,4,3,169,3.3,910,£4.2,7.9%,13,0,0,0,2023
