Player Name,Team,Position,Pts,GS,A,CS,B,BPS,PPG,MP,Cost,TSB,GC,OG,PS,PM,Season
Cucurella,CHE,DEF,65,0,2,6,1,363,2.7,1669,£4.9,5.0%,20,0,0,0,2022
Ferguson,BHA,FWD,65,6,2,6,8,213,3.4,942,£4.6,1.7%,12,0,0,0,2022
Elyounoussi,SOU,MID,62,1,1,2,0,218,1.9,2162,£5.1,0.1%,45,0,0,0,2022
Malacia,MUN,DEF,62,0,0,7,8,287,2.8,1391,£4.2,1.9%,14,0,0,0,2022
Anthony,BOU,MID,61,3,1,2,4,193,2.0,1241,£5.2,0.1%,29,0,0,0,2022
Worrall,NFO,DEF,61,1,0,5,2,366,2.0,2215,£4.2,0.1%,44,0,0,0,2022
Kelly,BOU,DEF,60,0,2,5,5,372,2.6,2040,£4.3,0.5%,38,0,0,0,2022
Hwang,WOL,MID,60,3,2,3,3,156,2.2,1117,£5.7,0.2%,18,0,0,0,2022
Ayling,LEE,DEF,59,2,1,3,4,336,2.0,2048,£4.5,0.3%,48,0,0,0,2022
Pedro Porro,TOT,DEF,59,3,3,2,5,253,3.9,1132,£4.8,1.1%,26,0,0,0,2022
Coufal,WHU,DEF,58,0,2,4,2,327,2.1,2135,£4,1.0%,35,0,0,0,2022
Aguerd,WHU,DEF,58,2,0,5,5,320,3.2,1594,£4.8,0.4%,28,0,0,0,2022
Cash,AVL,DEF,57,0,2,4,3,311,2.2,1817,£4.6,3.1%,29,0,0,0,2022
Moore,BOU,FWD,57,4,0,3,3,161,2.1,1269,£4.9,0.7%,34,0,0,0,2022
Enciso,BHA,FWD,57,4,3,4,7,189,2.9,794,£4.6,2.4%,12,0,0,0,2022
Lavia,SOU,MID,57,1,1,4,0,317,2.0,2219,£4.5,0.2%,50,0,0,0,2022
Lindelöf,MUN,DEF,57,0,0,6,3,327,2.9,1359,£4.1,1.6%,16,0,0,0,2022
S.Armstrong,SOU,MID,57,2,2,1,2,221,1.8,1391,£4.7,0.1%,34,0,0,0,2022
Walker-Peters,SOU,DEF,56,1,0,3,2,335,1.8,2650,£4.4,0.6%,58,0,0,0,2022
Freuler,NFO,MID,54,0,0,6,0,267,1.9,2157,£4.9,0.0%,47,0,0,0,2022
Kovacic,CHE,MID,53,1,2,4,2,289,2.0,1699,£4.9,0.3%,25,0,0,0,2022
Cairney,FUL,MID,53,2,1,1,2,217,1.6,968,£4.7,0.1%,13,0,0,0,2022
Wood,NFO,FWD,53,3,0,4,7,163,2.1,807,£5.6,0.5%,9,0,0,0,2022
Yates,NFO,MID,53,0,3,5,0,177,2.0,1833,£5,0.0%,36,0,0,0,2022
Sinisterra,LEE,MID,53,5,0,0,6,173,2.8,863,£6.5,0.2%,23,0,0,0,2022
Undav,BHA,FWD,52,5,2,2,4,173,2.4,614,£5,0.8%,9,1,0,0,2022
