Player Name,Team,Position,Pts,GS,A,CS,B,BPS,PPG,MP,Cost,TSB,GC,OG,PS,PM,Season
Salah,LIV,MID,259,22,12,21,18,687,6.8,3254,£13.2,33.9%,20,0,0,0,2018
Hazard,CHE,MID,238,16,15,12,35,879,6.4,2918,£11,27.2%,35,0,0,0,2018
Sterling,MCI,MID,234,17,15,17,25,743,6.9,2770,£11.7,24.8%,19,0,0,0,2018
Mané,LIV,MID,231,22,3,19,24,703,6.4,3076,£10.3,38.6%,21,0,0,0,2018
Robertson,LIV,DEF,213,0,12,21,29,906,5.9,3216,£6.7,33%,20,0,0,0,2018
Virgil,LIV,DEF,208,4,4,20,22,932,5.5,3384,£6.7,32.3%,22,0,0,0,2018
Aubameyang,ARS,FWD,205,22,7,7,32,756,5.7,2722,£10.8,18.8%,42,0,0,1,2018
Agüero,MCI,FWD,201,21,11,17,26,740,6.1,2457,£12,42.7%,15,0,0,0,2018
Alexander-Arnold,LIV,DEF,185,1,13,16,25,753,6.4,2460,£5.8,26.9%,14,0,0,0,2018
Sigurdsson,EVE,MID,182,13,6,15,20,662,4.8,3122,£7.4,8.3%,41,0,0,3,2018
Fraser,BOU,MID,181,7,14,9,23,751,4.8,3165,£6.4,23.7%,64,0,0,0,2018
Jiménez,WOL,FWD,181,13,10,12,31,602,4.8,3112,£6.9,33.4%,40,0,0,0,2018
Pogba,MUN,MID,179,13,10,8,19,648,5.1,3007,£8.6,33.7%,43,0,0,3,2018
Laporte,MCI,DEF,177,3,3,18,16,768,5.1,3056,£6.3,16.7%,21,0,0,0,2018
Alisson,LIV,GKP,176,0,0,21,9,771,4.6,3420,£5.9,23.4%,22,0,0,0,2018
Vardy,LEI,FWD,174,18,5,11,31,598,5.1,2726,£9,10.3%,36,0,0,1,2018
Ederson,MCI,GKP,169,0,1,20,6,700,4.4,3420,£5.7,22.9%,23,0,0,0,2018
Wilson,BOU,FWD,168,14,12,9,22,525,5.6,2528,£6.9,20.3%,47,0,0,1,2018
Lacazette,ARS,FWD,166,13,12,6,20,560,4.7,2497,£9.4,11.4%,31,0,0,0,2018
