Player Name,Team,Position,Pts,GS,A,CS,B,BPS,PPG,MP,Cost,TSB,GC,OG,PS,PM,Season
Salah,LIV,MID,303,32,12,15,26,881,8.4,2905,£10.6,56.7%,29,0,0,1,2017
Sterling,MCI,MID,229,18,17,13,19,701,6.9,2584,£9.1,27.6%,23,0,0,0,2017
Kane,TOT,FWD,217,29,2,15,31,781,5.9,3074,£13.1,37.7%,34,0,0,1,2017
De Bruyne,MCI,MID,209,8,18,19,25,872,5.6,3073,£10.3,21.4%,22,0,0,0,2017
Eriksen,TOT,MID,199,11,10,17,23,826,5.4,3218,£9.7,19.4%,33,0,0,0,2017
Mahrez,LEI,MID,195,12,13,9,19,682,5.4,2948,£8.7,8.2%,51,0,0,0,2017
Vardy,LEI,FWD,183,20,2,8,28,674,4.9,3248,£8.8,21.7%,57,0,0,1,2017
Firmino,LIV,FWD,181,15,8,16,29,758,4.9,2760,£9.5,36.1%,32,0,0,0,2017
Sané,MCI,MID,179,10,15,12,17,647,5.6,2415,£8.7,13.4%,22,0,0,0,2017
Son,TOT,MID,178,12,8,14,16,544,4.8,2292,£8.3,14%,18,0,0,0,2017
Azpilicueta,CHE,DEF,175,2,6,15,25,913,4.7,3330,£6.9,21%,38,1,0,0,2017
Alli,TOT,MID,175,9,13,16,12,565,4.9,2957,£9,13.8%,28,0,0,0,2017
Hazard,CHE,MID,173,12,6,12,24,699,5.1,2417,£10.5,6.4%,27,0,0,0,2017
De Gea,MUN,GKP,172,0,0,18,10,757,4.6,3330,£5.9,44.3%,28,0,0,0,2017
David Silva,MCI,MID,169,9,11,14,26,671,5.8,2431,£8.2,11.5%,18,0,0,0,2017
Agüero,MCI,FWD,169,21,6,13,22,740,6.8,1960,£11.5,10.7%,12,0,0,0,2017
Alonso,CHE,DEF,165,7,2,13,15,650,5,2855,£7.1,16.2%,30,0,0,0,2017
Gross,BHA,MID,164,7,8,10,24,635,4.3,2928,£5.9,15.4%,46,0,0,0,2017
Lukaku,MUN,FWD,162,16,7,14,18,593,4.8,2866,£11.5,21.9%,26,0,0,1,2017
Ederson,MCI,GKP,158,0,0,16,10,666,4.4,3195,£5.7,9%,26,0,2,0,2017
Fabianski,SWA,GKP,157,0,0,9,14,772,4.1,3420,£4.7,10.1%,56,0,3,0,2017
Otamendi,MCI,DEF,156,4,0,15,21,742,4.6,2966,£6.4,25.8%,25,1,0,0,2017
Shaqiri,STK,MID,155,8,9,6,19,554,4.3,3039,£6.1,8.6%,58,0,0,1,2017
Sánchez,MUN,MID,152,9,10,11,13,515,4.9,2546,£11.4,3%,32,0,0,1,2017
Pope,BUR,GKP,152,0,0,11,19,701,4.3,3114,£5,10.1%,35,0,1,0,2017
Mané,LIV,MID,147,10,8,15,8,499,5.1,2189,£9.4,8.5%,24,0,0,0,2017
Ryan,BHA,GKP,146,0,0,10,13,726,3.8,3420,£4.6,3.4%,54,0,2,0,2017
Valencia,MUN,DEF,146,3,1,16,13,660,4.7,2741,£6.9,11.7%,22,0,0,0,2017
Pickford,EVE,GKP,145,0,0,10,16,724,3.8,3420,£4.9,8.3%,58,0,1,0,2017
Milivojevic,CRY,MID,144,10,2,8,21,630,4,3079,£5.2,13.5%,52,0,0,1,2017
Arnautovic,WHU,MID,144,11,7,7,12,440,4.6,2309,£7.1,7.6%,50,0,0,0,2017
Lloris,TOT,GKP,144,0,0,15,6,694,4,3240,£5.5,9.3%,35,0,0,0,2017
Davies,TOT,DEF,143,2,7,12,14,615,4.9,2323,£5.8,21.9%,20,0,0,0,2017
Lacazette,ARS,FWD,138,14,5,10,11,543,4.3,2197,£10.3,7.6%,28,0,0,0,2017
Pogba,MUN,MID,138,6,13,11,15,528,5.1,2145,£7.9,14.7%,20,0,0,0,2017
Walker,MCI,DEF,138,0,6,15,8,691,4.3,2784,£6.6,12.3%,22,1,0,0,2017
Vertonghen,TOT,DEF,138,0,1,16,13,778,3.8,3203,£6.1,10.1%,31,0,0,0,2017
Courtois,CHE,GKP,136,0,0,15,4,635,3.9,3150,£5.3,10.3%,34,0,0,0,2017
Zaha,CRY,MID,136,9,7,10,8,404,4.7,2549,£7.1,10.6%,31,0,0,0,2017
A.Doucoure,WAT,MID,136,7,4,9,16,679,3.7,3324,£5.2,11%,63,0,0,0,2017
Lössl,HUD,GKP,135,0,1,10,11,701,3.6,3420,£4.6,6.8%,58,1,2,0,2017
Bellerín,ARS,DEF,132,2,4,12,11,656,3.8,3050,£5.9,10.3%,44,0,0,0,2017
Moses,CHE,DEF,131,3,6,11,9,486,4.7,2109,£6.5,2.9%,20,0,0,0,2017
Monreal,ARS,DEF,130,5,2,10,15,604,4.6,2241,£5.7,8%,29,0,0,0,2017
Ramsey,ARS,MID,130,7,10,9,12,503,5.4,1844,£6.8,4.5%,25,0,0,0,2017
Willian,CHE,MID,130,6,8,9,13,522,3.6,1874,£7,12.6%,19,0,0,0,2017
Lingard,MUN,MID,128,8,6,9,10,450,3.9,1807,£6,10.3%,18,0,0,0,2017
G.Jesus,MCI,FWD,126,13,7,9,18,473,4.3,1660,£10.4,17.1%,12,0,0,2,2017
Martial,MUN,MID,125,9,6,9,7,403,4.2,1572,£7.8,2.6%,13,0,0,0,2017
Butland,STK,GKP,125,0,0,6,16,687,3.6,3150,£5,2.5%,61,1,0,0,2017
Richarlison,WAT,MID,125,5,8,8,4,304,3.3,2817,£5.8,6.5%,54,0,0,0,2017
Cech,ARS,GKP,124,0,0,11,7,627,3.6,3039,£5.3,4.5%,48,0,1,0,2017
Pérez,NEW,FWD,124,8,6,8,15,420,3.4,2486,£5.5,6.5%,28,1,0,0,2017
Schmeichel,LEI,GKP,123,0,0,8,17,592,3.7,2965,£5.1,4.1%,47,1,2,0,2017
Smalling,MUN,DEF,123,4,0,11,9,590,4.2,2535,£5.7,11.5%,24,0,0,0,2017
Foster,WBA,GKP,123,0,0,10,11,635,3.3,3330,£4.3,9.4%,55,0,0,0,2017
Tadic,SOU,MID,122,6,3,10,10,464,3.4,2791,£6.2,3.2%,43,0,0,0,2017
Morata,CHE,FWD,122,11,6,11,13,356,3.9,2055,£10.4,7.6%,19,0,0,0,2017
Townsend,CRY,MID,121,2,9,9,7,552,3.4,3120,£5.6,1.4%,48,0,0,0,2017
Fernandinho,MCI,MID,120,5,4,15,9,596,3.5,2880,£5,4.6%,24,0,0,0,2017
Cresswell,WHU,DEF,118,1,7,10,10,613,3.3,3069,£4.9,3.2%,60,0,0,0,2017
Gudmundsson,BUR,MID,117,2,9,10,7,467,3.3,2831,£5,1.9%,33,0,0,0,2017
Maguire,LEI,DEF,117,2,4,9,10,716,3.1,3420,£5.5,10.9%,60,0,0,0,2017
Jones,MUN,DEF,116,0,0,15,19,554,5,1973,£5.5,5.2%,11,1,0,0,2017
Lascelles,NEW,DEF,116,3,0,9,9,567,3.5,2927,£4.9,9.5%,31,0,0,0,2017
Ritchie,NEW,MID,116,3,7,9,10,489,3.3,2802,£5.4,2.3%,35,0,0,0,2017
Rüdiger,CHE,DEF,115,2,1,12,8,557,4.3,2336,£5.8,3.3%,22,0,0,0,2017
Hegazi,WBA,DEF,114,2,0,10,11,646,3,3386,£4.6,17.8%,55,0,0,0,2017
Rooney,EVE,FWD,113,10,3,7,20,480,3.6,2265,£7.1,9.3%,33,0,0,3,2017
Mooy,HUD,MID,113,4,3,10,8,576,3.1,3066,£5.2,4.7%,52,0,0,0,2017
Trippier,TOT,DEF,113,0,7,9,18,539,4.7,1912,£5.2,4.8%,21,0,0,0,2017
Özil,ARS,MID,112,4,9,8,11,506,4.3,2161,£9.3,2.1%,36,0,0,0,2017
Begovic,BOU,GKP,112,0,0,6,6,631,2.9,3420,£4.5,4.1%,61,0,1,0,2017
Bernardo,MCI,MID,112,6,5,9,8,440,3.2,1514,£7.2,1.4%,10,0,0,0,2017
Mawson,SWA,DEF,112,2,1,9,7,662,2.9,3420,£5.1,4.1%,56,0,0,0,2017
Murray,BHA,FWD,111,12,0,8,16,319,3.2,2184,£5.9,5.7%,36,0,0,2,2017
Robertson,LIV,DEF,111,1,5,10,12,514,5,1940,£5,7.4%,18,0,0,0,2017
King,BOU,FWD,110,8,4,7,10,381,3.3,2450,£7,1.9%,38,0,0,0,2017
Lovren,LIV,DEF,110,2,1,11,10,539,3.8,2124,£5.3,1.5%,24,0,0,0,2017
Mustafi,ARS,DEF,109,3,1,10,13,610,4,2272,£5.4,4.2%,30,0,0,0,2017
Xhaka,ARS,MID,109,1,8,12,3,593,2.9,3259,£5.1,7%,50,0,0,0,2017
Allen,STK,MID,109,2,6,6,12,527,3,3139,£5.1,1.7%,55,0,0,0,2017
Rodriguez,WBA,FWD,109,7,1,10,11,335,2.9,2807,£5.4,2.5%,41,0,0,0,2017
Kolasinac,ARS,DEF,108,2,4,10,6,510,4,2146,£5.8,6.1%,30,0,0,0,2017
