Player Name,Team,Position,Pts,GS,A,CS,B,BPS,PPG,MP,Cost,TSB,GC,OG,PS,PM,Season
De Bruyne,MCI,MID,251,13,23,18,35,988,7.2,2790,£10.6,48.9%,22,0,0,0,2019
Salah,LIV,MID,233,19,10,16,26,661,6.9,2879,£12.5,32.4%,26,0,0,0,2019
Mané,LIV,MID,221,18,10,12,27,689,6.3,2745,£12.1,19.7%,28,0,0,0,2019
Vardy,LEI,FWD,210,23,7,11,34,775,6,3032,£9.7,27.2%,38,0,0,1,2019
Alexander-Arnold,LIV,DEF,210,4,15,14,24,904,5.5,3173,£7.7,39.1%,32,0,0,0,2019
Aubameyang,ARS,FWD,205,22,5,10,37,807,5.7,3136,£10.9,22.4%,44,0,0,0,2019
Sterling,MCI,MID,204,20,6,13,20,642,6.2,2651,£12,23.2%,31,0,0,2,2019
Martial,MUN,MID,200,17,9,14,14,544,6.2,2625,£8.5,22.5%,27,0,0,1,2019
Ings,SOU,FWD,198,22,2,6,40,736,5.2,2800,£7.6,31.4%,44,0,0,1,2019
Jiménez,WOL,FWD,194,17,7,15,33,685,5.1,3241,£8,29.5%,36,0,0,0,2019
Robertson,LIV,DEF,181,2,12,13,20,847,5,3111,£7,18.1%,31,0,0,0,2019
Virgil,LIV,DEF,178,5,2,15,14,804,4.7,3420,£6.5,42.4%,33,0,0,0,2019
Rashford,MUN,FWD,177,17,8,9,31,665,5.7,2645,£8.9,18.1%,29,0,0,2,2019
Schmeichel,LEI,GKP,156,0,0,13,10,707,4.1,3420,£5.5,12.8%,41,0,2,0,2019
Firmino,LIV,FWD,155,9,9,16,20,592,4.1,2985,£9.3,10.1%,26,0,0,0,2019
Patrício,WOL,GKP,153,0,0,13,8,680,4,3420,£5.3,9.9%,40,0,2,0,2019
Abraham,CHE,FWD,153,15,6,7,20,461,4.5,2206,£7.3,14%,34,1,0,0,2019
Grealish,AVL,MID,149,8,7,7,19,601,4.1,3233,£5.9,14.4%,63,0,0,1,2019
G.Jesus,MCI,FWD,146,14,8,12,17,535,4.3,2018,£9.9,8.2%,14,0,0,1,2019
Lundstram,SHU,DEF,144,5,4,10,15,539,4.2,2452,£4.6,28.8%,29,0,0,0,2019
Tarkowski,BUR,DEF,143,2,3,15,14,690,3.8,3420,£5.5,9.3%,50,0,0,0,2019
de Gea,MUN,GKP,143,0,0,13,8,630,3.8,3420,£5.3,11.5%,36,0,0,0,2019
Dubravka,NEW,GKP,143,0,0,11,7,719,3.8,3420,£5.1,2%,58,0,0,0,2019
Stevens,SHU,DEF,142,2,4,13,8,639,3.7,3345,£5.2,4.6%,39,0,0,0,2019
Baldock,SHU,DEF,142,2,4,13,7,602,3.7,3420,£5,11.6%,39,0,0,0,2019
David Silva,MCI,MID,139,6,12,11,15,549,5.1,1821,£7.5,9.1%,15,0,0,0,2019
Pukki,NOR,FWD,139,11,3,6,21,444,3.9,2884,£6.4,11.4%,59,0,0,0,2019
Guaita,CRY,GKP,137,0,0,10,16,643,3.9,3150,£4.9,1.6%,42,1,0,0,2019
Foster,WAT,GKP,137,0,0,9,17,686,3.6,3420,£4.9,3.6%,64,0,1,0,2019
Mount,CHE,MID,137,7,6,9,11,510,3.7,2865,£6,12.7%,44,0,0,0,2019
Azpilicueta,CHE,DEF,130,2,6,8,16,700,3.6,3229,£6.1,8.8%,53,0,0,0,2019
Traoré,WOL,MID,130,4,9,7,14,522,3.5,2599,£5.6,13.2%,33,0,0,0,2019
Pérez,LEI,MID,129,8,5,9,9,402,3.9,1998,£6,5%,25,0,0,0,2019
Dunk,BHA,DEF,128,3,3,9,17,674,3.6,3230,£4.8,12.5%,50,0,0,0,2019
Evans,LEI,DEF,128,1,2,13,12,707,3.4,3384,£5.3,5.7%,41,1,0,0,2019
Wan-Bissaka,MUN,DEF,127,0,4,12,16,659,3.6,3070,£5.5,18.9%,33,0,0,0,2019
Pulisic,CHE,MID,127,9,8,6,8,379,5.1,1717,£7.4,13%,28,0,0,0,2019
Calvert-Lewin,EVE,FWD,126,13,1,8,15,385,3.5,2621,£6.1,7.9%,43,0,0,0,2019
Ramsdale,BOU,GKP,126,0,1,5,13,680,3.4,3330,£4.4,3.2%,62,0,1,0,2019
Maddison,LEI,MID,125,6,5,10,14,548,4,2624,£7.3,12.1%,26,0,0,0,2019
Aurier,TOT,DEF,124,1,7,9,15,623,3.8,2699,£5.1,7.7%,33,1,0,0,2019
